date,year,month,month_name,season,cholera_cases,cholera_deaths,outbreak_year,incidence_per_10k,population
2010-01-01,2010,1,January,Dry Season,0,0,False,0.0,1200000
2010-02-01,2010,2,February,Dry Season,1,0,False,0.0083,1200000
2010-03-01,2010,3,March,Long Rains,2,0,False,0.0167,1200000
2010-04-01,2010,4,April,Long Rains,2,0,False,0.0167,1200000
2010-05-01,2010,5,May,Long Rains,1,0,False,0.0083,1200000
2010-06-01,2010,6,June,Dry Season,0,0,False,0.0,1200000
2010-07-01,2010,7,July,Dry Season,0,0,False,0.0,1200000
2010-08-01,2010,8,August,Dry Season,0,0,False,0.0,1200000
2010-09-01,2010,9,September,Dry Season,1,0,False,0.0083,1200000
2010-10-01,2010,10,October,Short Rains,2,0,False,0.0167,1200000
2010-11-01,2010,11,November,Short Rains,1,0,False,0.0083,1200000
2010-12-01,2010,12,December,Short Rains,1,0,False,0.0083,1200000
2011-01-01,2011,1,January,Dry Season,0,0,False,0.0,1235000
2011-02-01,2011,2,February,Dry Season,0,0,False,0.0,1235000
2011-03-01,2011,3,March,Long Rains,1,0,False,0.0081,1235000
2011-04-01,2011,4,April,Long Rains,1,0,False,0.0081,1235000
2011-05-01,2011,5,May,Long Rains,1,0,False,0.0081,1235000
2011-06-01,2011,6,June,Dry Season,0,0,False,0.0,1235000
2011-07-01,2011,7,July,Dry Season,0,0,False,0.0,1235000
2011-08-01,2011,8,August,Dry Season,0,0,False,0.0,1235000
2011-09-01,2011,9,September,Dry Season,0,0,False,0.0,1235000
2011-10-01,2011,10,October,Short Rains,1,0,False,0.0081,1235000
2011-11-01,2011,11,November,Short Rains,1,0,False,0.0081,1235000
2011-12-01,2011,12,December,Short Rains,1,0,False,0.0081,1235000
2012-01-01,2012,1,January,Dry Season,0,0,False,0.0,1270000
2012-02-01,2012,2,February,Dry Season,0,0,False,0.0,1270000
2012-03-01,2012,3,March,Long Rains,1,0,False,0.0079,1270000
2012-04-01,2012,4,April,Long Rains,1,0,False,0.0079,1270000
2012-05-01,2012,5,May,Long Rains,1,0,False,0.0079,1270000
2012-06-01,2012,6,June,Dry Season,0,0,False,0.0,1270000
2012-07-01,2012,7,July,Dry Season,0,0,False,0.0,1270000
2012-08-01,2012,8,August,Dry Season,0,0,False,0.0,1270000
2012-09-01,2012,9,September,Dry Season,0,0,False,0.0,1270000
2012-10-01,2012,10,October,Short Rains,1,0,False,0.0079,1270000
2012-11-01,2012,11,November,Short Rains,1,0,False,0.0079,1270000
2012-12-01,2012,12,December,Short Rains,1,0,False,0.0079,1270000
2013-01-01,2013,1,January,Dry Season,0,0,False,0.0,1305000
2013-02-01,2013,2,February,Dry Season,0,0,False,0.0,1305000
2013-03-01,2013,3,March,Long Rains,0,0,False,0.0,1305000
2013-04-01,2013,4,April,Long Rains,0,0,False,0.0,1305000
2013-05-01,2013,5,May,Long Rains,0,0,False,0.0,1305000
2013-06-01,2013,6,June,Dry Season,0,0,False,0.0,1305000
2013-07-01,2013,7,July,Dry Season,0,0,False,0.0,1305000
2013-08-01,2013,8,August,Dry Season,0,0,False,0.0,1305000
2013-09-01,2013,9,September,Dry Season,0,0,False,0.0,1305000
2013-10-01,2013,10,October,Short Rains,0,0,False,0.0,1305000
2013-11-01,2013,11,November,Short Rains,0,0,False,0.0,1305000
2013-12-01,2013,12,December,Short Rains,0,0,False,0.0,1305000
2014-01-01,2014,1,January,Dry Season,0,0,False,0.0,1340000
2014-02-01,2014,2,February,Dry Season,0,0,False,0.0,1340000
2014-03-01,2014,3,March,Long Rains,1,0,False,0.0075,1340000
2014-04-01,2014,4,April,Long Rains,1,0,False,0.0075,1340000
2014-05-01,2014,5,May,Long Rains,1,0,False,0.0075,1340000
2014-06-01,2014,6,June,Dry Season,0,0,False,0.0,1340000
2014-07-01,2014,7,July,Dry Season,0,0,False,0.0,1340000
2014-08-01,2014,8,August,Dry Season,0,0,False,0.0,1340000
2014-09-01,2014,9,September,Dry Season,0,0,False,0.0,1340000
2014-10-01,2014,10,October,Short Rains,1,0,False,0.0075,1340000
2014-11-01,2014,11,November,Short Rains,1,0,False,0.0075,1340000
2014-12-01,2014,12,December,Short Rains,1,0,False,0.0075,1340000
2015-01-01,2015,1,January,Dry Season,34,0,True,0.2473,1375000
2015-02-01,2015,2,February,Dry Season,33,0,True,0.24,1375000
2015-03-01,2015,3,March,Long Rains,117,1,True,0.8509,1375000
2015-04-01,2015,4,April,Long Rains,119,1,True,0.8655,1375000
2015-05-01,2015,5,May,Long Rains,91,1,True,0.6618,1375000
2015-06-01,2015,6,June,Dry Season,36,0,True,0.2618,1375000
2015-07-01,2015,7,July,Dry Season,24,0,True,0.1745,1375000
2015-08-01,2015,8,August,Dry Season,29,0,True,0.2109,1375000
2015-09-01,2015,9,September,Dry Season,39,0,True,0.2836,1375000
2015-10-01,2015,10,October,Short Rains,122,1,True,0.8873,1375000
2015-11-01,2015,11,November,Short Rains,135,1,True,0.9818,1375000
2015-12-01,2015,12,December,Short Rains,81,1,True,0.5891,1375000
2016-01-01,2016,1,January,Dry Season,109,1,True,0.773,1410000
2016-02-01,2016,2,February,Dry Season,140,1,True,0.9929,1410000
2016-03-01,2016,3,March,Long Rains,408,4,True,2.8936,1410000
2016-04-01,2016,4,April,Long Rains,479,5,True,3.3972,1410000
2016-05-01,2016,5,May,Long Rains,381,4,True,2.7021,1410000
2016-06-01,2016,6,June,Dry Season,112,1,True,0.7943,1410000
2016-07-01,2016,7,July,Dry Season,92,1,True,0.6525,1410000
2016-08-01,2016,8,August,Dry Season,85,1,True,0.6028,1410000
2016-09-01,2016,9,September,Dry Season,177,2,True,1.2553,1410000
2016-10-01,2016,10,October,Short Rains,398,4,True,2.8227,1410000
2016-11-01,2016,11,November,Short Rains,425,4,True,3.0142,1410000
2016-12-01,2016,12,December,Short Rains,278,3,True,1.9716,1410000
2017-01-01,2017,1,January,Dry Season,0,0,False,0.0,1445000
2017-02-01,2017,2,February,Dry Season,0,0,False,0.0,1445000
2017-03-01,2017,3,March,Long Rains,0,0,False,0.0,1445000
2017-04-01,2017,4,April,Long Rains,0,0,False,0.0,1445000
2017-05-01,2017,5,May,Long Rains,0,0,False,0.0,1445000
2017-06-01,2017,6,June,Dry Season,0,0,False,0.0,1445000
2017-07-01,2017,7,July,Dry Season,0,0,False,0.0,1445000
2017-08-01,2017,8,August,Dry Season,0,0,False,0.0,1445000
2017-09-01,2017,9,September,Dry Season,0,0,False,0.0,1445000
2017-10-01,2017,10,October,Short Rains,0,0,False,0.0,1445000
2017-11-01,2017,11,November,Short Rains,0,0,False,0.0,1445000
2017-12-01,2017,12,December,Short Rains,0,0,False,0.0,1445000
2018-01-01,2018,1,January,Dry Season,0,0,False,0.0,1480000
2018-02-01,2018,2,February,Dry Season,0,0,False,0.0,1480000
2018-03-01,2018,3,March,Long Rains,0,0,False,0.0,1480000
2018-04-01,2018,4,April,Long Rains,0,0,False,0.0,1480000
2018-05-01,2018,5,May,Long Rains,0,0,False,0.0,1480000
2018-06-01,2018,6,June,Dry Season,0,0,False,0.0,1480000
2018-07-01,2018,7,July,Dry Season,0,0,False,0.0,1480000
2018-08-01,2018,8,August,Dry Season,0,0,False,0.0,1480000
2018-09-01,2018,9,September,Dry Season,0,0,False,0.0,1480000
2018-10-01,2018,10,October,Short Rains,0,0,False,0.0,1480000
2018-11-01,2018,11,November,Short Rains,0,0,False,0.0,1480000
2018-12-01,2018,12,December,Short Rains,0,0,False,0.0,1480000
2019-01-01,2019,1,January,Dry Season,0,0,False,0.0,1515000
2019-02-01,2019,2,February,Dry Season,0,0,False,0.0,1515000
2019-03-01,2019,3,March,Long Rains,0,0,False,0.0,1515000
2019-04-01,2019,4,April,Long Rains,0,0,False,0.0,1515000
2019-05-01,2019,5,May,Long Rains,0,0,False,0.0,1515000
2019-06-01,2019,6,June,Dry Season,0,0,False,0.0,1515000
2019-07-01,2019,7,July,Dry Season,0,0,False,0.0,1515000
2019-08-01,2019,8,August,Dry Season,0,0,False,0.0,1515000
