date,temp_max_c,temp_min_c,temp_mean_c,rainfall_mm,humidity_max_pct,humidity_min_pct,wind_speed_max_kmh,evapotranspiration_mm
2010-01-01,31.6,26.3,28.8,0.0,85,58,13.4,5.52
2010-01-02,31.6,27.2,29.0,0.0,83,60,18.6,5.79
2010-01-03,30.5,26.2,28.3,5.8,83,63,21.2,5.24
2010-01-04,30.3,27.2,28.4,3.0,82,65,23.2,5.53
2010-01-05,30.6,26.8,28.4,1.1,83,64,24.8,5.58
2010-01-06,30.1,26.4,28.0,3.4,84,68,18.2,4.28
2010-01-07,30.7,26.6,28.2,3.6,85,67,23.2,4.86
2010-01-08,29.3,26.9,27.7,4.7,85,71,22.1,3.77
2010-01-09,29.6,27.0,28.0,0.1,83,69,22.9,4.34
2010-01-10,27.4,25.0,26.4,12.8,92,77,17.1,2.05
2010-01-11,28.9,25.6,27.2,6.4,90,70,22.6,4.27
2010-01-12,28.8,26.5,27.4,0.2,81,69,26.1,4.5
2010-01-13,28.8,26.4,27.4,0.0,79,67,27.4,5.11
2010-01-14,29.3,26.0,27.4,0.4,86,70,24.5,4.86
2010-01-15,29.8,26.1,27.6,0.2,85,65,17.9,5.39
2010-01-16,28.7,26.5,27.4,0.4,82,69,18.2,3.53
2010-01-17,30.1,26.6,27.9,0.0,82,65,19.4,5.27
2010-01-18,29.9,26.4,27.8,0.0,82,63,19.2,5.28
2010-01-19,30.5,26.0,27.9,0.1,80,60,15.9,5.55
2010-01-20,30.1,26.0,27.7,1.0,85,65,16.0,5.1
2010-01-21,31.0,26.2,28.2,0.0,83,59,19.0,5.83
2010-01-22,30.4,26.4,28.1,0.0,84,63,19.2,5.07
2010-01-23,30.8,26.4,28.2,0.0,81,62,19.4,5.57
2010-01-24,30.3,26.8,28.3,0.6,79,64,19.3,5.37
2010-01-25,30.3,26.8,28.2,0.6,81,64,22.9,5.56
2010-01-26,30.5,26.5,28.0,0.0,83,63,26.3,5.41
2010-01-27,30.6,26.5,28.0,0.2,83,60,24.1,5.57
2010-01-28,30.5,26.6,28.1,0.0,82,61,24.2,5.68
2010-01-29,29.9,26.2,27.8,0.8,83,65,24.6,5.17
2010-01-30,30.6,26.5,28.1,0.1,82,59,27.1,5.48
2010-01-31,30.8,26.7,28.4,0.4,84,60,25.1,5.65
2010-02-01,30.7,26.9,28.2,0.6,83,63,26.5,5.3
2010-02-02,30.7,26.7,28.2,0.0,83,60,23.0,5.39
2010-02-03,30.6,26.5,28.2,0.1,82,61,19.8,5.08
2010-02-04,30.9,26.4,28.3,0.1,83,62,20.0,4.99
2010-02-05,31.5,26.6,28.8,1.7,83,64,13.6,5.11
2010-02-06,29.0,25.2,27.2,13.4,92,74,12.2,3.77
2010-02-07,29.0,25.2,27.0,12.4,92,75,15.6,4.02
2010-02-08,29.8,25.7,27.6,2.0,90,71,14.5,4.9
2010-02-09,29.9,26.3,27.8,1.3,87,69,15.6,4.81
2010-02-10,30.5,25.8,27.9,1.6,89,68,12.1,4.62
2010-02-11,30.5,25.5,27.9,3.9,91,68,11.8,4.54
2010-02-12,30.6,25.9,28.3,1.0,91,69,16.7,4.83
2010-02-13,30.3,27.2,28.6,0.8,82,63,18.6,5.36
2010-02-14,30.8,27.2,28.6,0.0,81,62,19.9,5.75
2010-02-15,31.5,26.8,28.8,0.0,80,59,18.2,5.91
2010-02-16,31.4,26.8,28.8,0.2,84,60,18.8,5.57
2010-02-17,32.4,26.9,29.2,0.0,84,58,18.1,6.07
2010-02-18,31.7,27.3,29.1,0.0,81,57,23.4,6.22
2010-02-19,30.6,27.7,28.8,1.4,80,67,21.8,5.05
2010-02-20,30.8,27.2,28.8,1.8,84,66,20.3,5.04
2010-02-21,30.8,27.1,28.6,0.2,85,64,21.6,4.86
2010-02-22,31.7,27.0,29.0,0.1,83,58,17.3,6.04
2010-02-23,31.6,26.5,28.9,0.0,85,60,14.0,5.57
2010-02-24,31.5,27.3,29.1,0.6,83,60,14.6,5.47
2010-02-25,32.6,25.9,29.3,0.0,91,53,15.6,5.48
2010-02-26,32.3,26.5,29.3,0.6,87,56,19.8,4.96
2010-02-27,31.8,27.2,29.0,3.1,82,61,15.9,4.63
2010-02-28,30.4,26.0,28.3,3.1,91,67,14.4,4.31
2010-03-01,30.3,25.6,27.8,8.4,88,68,21.1,4.18
2010-03-02,30.5,25.8,28.2,7.3,91,71,15.9,4.68
2010-03-03,31.0,25.9,28.2,1.1,93,66,12.7,5.08
2010-03-04,31.8,26.0,28.9,0.0,93,63,13.7,5.44
2010-03-05,32.5,26.6,29.0,1.2,92,59,18.2,5.08
2010-03-06,31.2,26.0,28.4,2.0,87,66,17.9,4.63
2010-03-07,30.5,26.2,28.3,3.0,87,66,14.6,4.53
2010-03-08,30.3,26.2,28.3,2.5,89,67,17.4,4.89
2010-03-09,31.1,26.4,28.6,1.5,89,66,19.9,5.36
2010-03-10,31.5,27.0,28.9,1.2,87,59,21.9,5.81
2010-03-11,31.6,27.4,29.1,1.1,82,62,23.0,5.91
2010-03-12,31.4,27.6,29.2,0.8,81,61,23.7,5.87
2010-03-13,31.5,27.8,29.2,0.0,78,56,25.8,6.4
2010-03-14,31.3,27.5,29.0,0.9,81,62,25.3,5.77
2010-03-15,31.9,27.5,29.1,1.0,81,59,21.3,5.63
2010-03-16,31.7,26.9,29.0,0.9,84,58,19.7,5.43
2010-03-17,32.3,27.1,29.4,0.0,82,55,18.5,6.09
2010-03-18,32.2,27.3,29.4,0.0,81,56,17.1,5.86
2010-03-19,32.7,27.4,29.8,0.0,81,55,15.8,5.78
2010-03-20,30.7,26.6,28.4,4.6,86,63,15.9,4.3
2010-03-21,30.4,25.9,28.3,3.3,88,67,16.9,4.57
2010-03-22,31.3,26.1,28.3,2.1,88,62,18.2,4.65
2010-03-23,29.8,25.4,27.6,6.3,92,67,20.2,4.13
2010-03-24,28.1,25.4,26.5,22.6,91,77,17.5,2.64
2010-03-25,29.8,25.0,27.2,6.4,93,73,15.8,4.09
2010-03-26,30.2,25.3,27.8,4.7,91,68,15.3,4.4
2010-03-27,30.0,25.5,27.5,6.4,93,73,15.5,4.03
2010-03-28,28.5,25.4,26.8,9.3,92,78,15.7,3.13
2010-03-29,27.6,25.3,26.4,6.2,91,79,17.7,2.03
2010-03-30,29.7,25.2,27.3,3.3,90,73,17.6,4.43
2010-03-31,28.2,25.5,26.9,6.4,93,80,15.9,2.98
2010-04-01,28.6,25.7,27.1,7.6,90,74,19.6,3.45
2010-04-02,28.8,25.1,26.7,8.9,93,77,16.8,3.72
2010-04-03,28.7,25.3,26.4,7.7,92,77,14.1,3.54
2010-04-04,28.0,24.6,26.1,7.0,93,79,10.4,2.65
2010-04-05,28.9,25.2,26.9,3.3,93,76,15.4,3.84
2010-04-06,28.1,25.3,26.4,6.7,90,78,14.8,2.93
2010-04-07,28.7,24.8,26.7,4.4,94,78,17.1,3.75
2010-04-08,29.4,25.6,27.3,3.9,90,76,16.1,3.9
2010-04-09,29.4,25.4,27.2,3.6,91,74,14.4,3.65
2010-04-10,29.8,25.6,27.4,1.4,90,71,17.0,4.21
2010-04-11,29.8,25.9,27.7,0.9,90,70,14.5,4.04
2010-04-12,30.9,25.9,28.1,0.4,90,63,18.4,4.66
2010-04-13,29.1,25.8,27.5,3.7,91,78,19.2,4.02
2010-04-14,28.4,25.2,26.2,15.4,92,77,17.3,3.13
2010-04-15,28.3,24.6,26.1,24.7,94,79,15.0,2.59
2010-04-16,27.7,24.7,26.1,11.8,93,80,13.0,2.91
2010-04-17,28.5,24.8,26.6,11.2,93,79,15.3,3.57
2010-04-18,29.6,24.8,27.1,3.2,93,75,12.1,3.84
2010-04-19,29.2,26.0,27.6,3.3,91,74,12.1,3.68
2010-04-20,29.9,26.1,27.8,1.2,91,69,13.5,4.25
2010-04-21,29.6,25.8,27.6,1.1,90,71,14.1,4.11
2010-04-22,29.4,25.8,27.4,1.2,92,73,16.9,4.22
2010-04-23,30.2,25.5,27.6,1.4,92,66,17.8,4.32
2010-04-24,30.0,26.1,27.8,0.4,91,74,15.9,4.15
2010-04-25,29.8,26.1,27.6,1.2,91,74,19.5,4.13
2010-04-26,28.0,25.2,26.6,5.2,90,77,18.1,2.79
2010-04-27,27.0,25.0,25.8,12.0,94,81,19.3,2.33
2010-04-28,27.1,24.9,25.8,16.8,93,83,21.3,2.09
2010-04-29,26.8,25.0,25.7,29.1,94,85,19.8,1.6
2010-04-30,28.8,25.2,26.6,3.2,93,75,18.3,3.91
2010-05-01,26.8,24.6,25.9,2.4,93,83,14.0,1.65
2010-05-02,28.5,25.1,26.7,2.9,91,74,21.3,3.84
2010-05-03,27.6,25.4,26.5,5.6,89,78,20.9,3.27
2010-05-04,28.5,25.6,27.0,1.5,89,76,15.9,3.29
2010-05-05,28.9,25.5,26.9,0.9,89,73,15.1,3.55
2010-05-06,26.7,24.9,25.6,26.6,93,85,19.0,1.59
