year,month,temp_max_c,temp_min_c,temp_mean_c,rainfall_mm,humidity_mean_pct,wind_speed_max,heat_index_c,extreme_heat_days,evapotrans_mm,season,date
2010,1,31.6,25.0,27.95,45.9,74.0,27.4,31.07,0,156.18,Dry Season,2010-01-01
2010,2,32.6,25.2,28.49,50.0,74.4,26.5,32.3,0,143.65,Dry Season,2010-02-01
2010,3,32.7,25.0,28.28,114.5,76.6,25.8,32.13,0,147.8,Long Rains,2010-03-01
2010,4,30.9,24.6,26.92,201.9,83.6,21.3,29.85,0,105.98,Long Rains,2010-04-01
2010,5,29.8,24.4,26.49,88.7,81.9,21.8,28.74,0,107.83,Long Rains,2010-05-01
2010,6,29.2,23.3,25.76,45.5,75.1,26.3,27.08,0,113.42,Dry Season,2010-06-01
2010,7,28.9,22.2,25.06,18.1,71.1,27.7,26.05,0,127.23,Dry Season,2010-07-01
2010,8,29.4,22.2,25.11,14.7,69.7,33.0,26.09,0,137.9,Dry Season,2010-08-01
2010,9,29.4,21.7,25.4,11.9,70.4,26.3,26.47,0,142.07,Dry Season,2010-09-01
2010,10,31.6,21.7,26.58,18.5,71.3,23.1,28.27,0,159.47,Short Rains,2010-10-01
2010,11,30.6,23.8,26.93,76.6,78.2,21.9,29.4,0,138.78,Short Rains,2010-11-01
2010,12,30.6,24.2,27.4,77.7,77.1,23.3,30.25,0,150.49,Short Rains,2010-12-01
2011,1,31.3,25.5,28.12,32.6,71.5,32.6,31.12,0,170.9,Dry Season,2011-01-01
2011,2,32.8,25.1,28.16,38.2,72.3,32.7,31.3,0,149.02,Dry Season,2011-02-01
2011,3,32.1,24.8,27.95,84.0,75.3,25.0,31.23,0,148.87,Long Rains,2011-03-01
2011,4,30.0,24.0,26.42,200.5,83.6,21.6,28.71,0,106.3,Long Rains,2011-04-01
2011,5,29.6,23.8,26.03,88.3,81.7,23.7,27.72,0,109.08,Long Rains,2011-05-01
2011,6,29.7,23.3,25.68,22.6,75.4,26.9,26.94,0,115.50999999999999,Dry Season,2011-06-01
