year,month,temp_max_c,temp_min_c,temp_mean_c,rainfall_mm,humidity_mean_pct,wind_speed_max,heat_index_c,extreme_heat_days,evapotrans_mm,season,date,cholera_cases,cholera_deaths,outbreak_year,incidence_per_10k,population,temp_mean_lag1,rainfall_lag1,heat_index_lag1,temp_mean_lag2,rainfall_lag2,heat_index_lag2,temp_3m_rolling,rainfall_3m_cumul,malaria_cases,malaria_incidence,malaria_real,temp_anomaly,risk_score,alert_level,alert_color
2010,3,32.7,25.0,28.28,114.5,76.6,25.8,32.13,0,147.8,Long Rains,2010-03-01,2,0,False,0.0167,1200000,28.49,50.0,32.3,27.95,45.9,31.07,28.24,210.4,158,1.3167,False,0.32235294117646873,27.5,🟢 GREEN — Low,#2ecc71
2010,4,30.9,24.6,26.92,201.9,83.6,21.3,29.85,0,105.98,Long Rains,2010-04-01,2,0,False,0.0167,1200000,28.28,114.5,32.13,28.49,50.0,32.3,27.9,366.4,128,1.0667,False,0.46000000000000085,28.3,🟢 GREEN — Low,#2ecc71
2010,5,29.8,24.4,26.49,88.7,81.9,21.8,28.74,0,107.83,Long Rains,2010-05-01,1,0,False,0.0083,1200000,26.92,201.9,29.85,28.28,114.5,32.13,27.23,405.1,115,0.9583,False,0.6674999999999969,22.9,🟢 GREEN — Low,#2ecc71
2010,6,29.2,23.3,25.76,45.5,75.1,26.3,27.08,0,113.42,Dry Season,2010-06-01,0,0,False,0.0,1200000,26.49,88.7,28.74,26.92,201.9,29.85,26.39,336.1,92,0.7667,False,0.4700000000000024,18.2,🟢 GREEN — Low,#2ecc71
2010,7,28.9,22.2,25.06,18.1,71.1,27.7,26.05,0,127.23,Dry Season,2010-07-01,0,0,False,0.0,1200000,25.76,45.5,27.08,26.49,88.7,28.74,25.77,152.3,89,0.7417,False,0.3218749999999986,15.2,🟢 GREEN — Low,#2ecc71
2010,8,29.4,22.2,25.11,14.7,69.7,33.0,26.09,0,137.9,Dry Season,2010-08-01,0,0,False,0.0,1200000,25.06,18.1,26.05,25.76,45.5,27.08,25.31,78.3,136,1.1333,False,0.26500000000000057,15.4,🟢 GREEN — Low,#2ecc71
2010,9,29.4,21.7,25.4,11.9,70.4,26.3,26.47,0,142.07,Dry Season,2010-09-01,1,0,False,0.0083,1200000,25.11,14.7,26.09,25.06,18.1,26.05,25.19,44.7,179,1.4917,False,-0.02125000000000199,15.3,🟢 GREEN — Low,#2ecc71
2010,10,31.6,21.7,26.58,18.5,71.3,23.1,28.27,0,159.47,Short Rains,2010-10-01,2,0,False,0.0167,1200000,25.4,11.9,26.47,25.11,14.7,26.09,25.7,45.1,236,1.9667,False,0.2893749999999997,19.5,🟢 GREEN — Low,#2ecc71
2010,11,30.6,23.8,26.93,76.6,78.2,21.9,29.4,0,138.78,Short Rains,2010-11-01,1,0,False,0.0083,1200000,26.58,18.5,28.27,25.4,11.9,26.47,26.3,107.0,310,2.5833,False,0.08500000000000085,23.2,🟢 GREEN — Low,#2ecc71
2010,12,30.6,24.2,27.4,77.7,77.1,23.3,30.25,0,150.49,Short Rains,2010-12-01,1,0,False,0.0083,1200000,26.93,76.6,29.4,26.58,18.5,28.27,26.97,172.8,529,4.4083,False,-0.16750000000000043,25.7,🟢 GREEN — Low,#2ecc71
2011,1,31.3,25.5,28.12,32.6,71.5,32.6,31.12,0,170.9,Dry Season,2011-01-01,0,0,False,0.0,1235000,27.4,77.7,30.25,26.93,76.6,29.4,27.48,186.9,259,2.0972,False,0.08062500000000128,23.1,🟢 GREEN — Low,#2ecc71
2011,2,32.8,25.1,28.16,38.2,72.3,32.7,31.3,0,149.02,Dry Season,2011-02-01,0,0,False,0.0,1235000,28.12,32.6,31.12,27.4,77.7,30.25,27.89,148.5,186,1.5061,False,-0.22062500000000185,21.8,🟢 GREEN — Low,#2ecc71
2011,3,32.1,24.8,27.95,84.0,75.3,25.0,31.23,0,148.87,Long Rains,2011-03-01,1,0,False,0.0081,1235000,28.16,38.2,31.3,28.12,32.6,31.12,28.08,154.8,111,0.8988,False,-0.007647058823533115,23.5,🟢 GREEN — Low,#2ecc71
2011,4,30.0,24.0,26.42,200.5,83.6,21.6,28.71,0,106.3,Long Rains,2011-04-01,1,0,False,0.0081,1235000,27.95,84.0,31.23,28.16,38.2,31.3,27.51,322.7,92,0.7449,False,-0.03999999999999915,24.7,🟢 GREEN — Low,#2ecc71
2011,5,29.6,23.8,26.03,88.3,81.7,23.7,27.72,0,109.08,Long Rains,2011-05-01,1,0,False,0.0081,1235000,26.42,200.5,28.71,27.95,84.0,31.23,26.8,372.8,95,0.7692,False,0.20749999999999957,19.9,🟢 GREEN — Low,#2ecc71
2011,6,29.7,23.3,25.68,22.6,75.4,26.9,26.94,0,115.51,Dry Season,2011-06-01,0,0,False,0.0,1235000,26.03,88.3,27.72,26.42,200.5,28.71,26.04,311.4,80,0.6478,False,0.39000000000000057,16.7,🟢 GREEN — Low,#2ecc71
2011,7,29.0,22.4,25.25,13.8,70.0,27.2,26.29,0,132.03,Dry Season,2011-07-01,0,0,False,0.0,1235000,25.68,22.6,26.94,26.03,88.3,27.72,25.65,124.7,79,0.6397,False,0.5118749999999999,15.9,🟢 GREEN — Low,#2ecc71
2011,8,29.9,22.1,25.22,20.1,71.1,26.2,26.22,0,135.95,Dry Season,2011-08-01,0,0,False,0.0,1235000,25.25,13.8,26.29,25.68,22.6,26.94,25.38,56.5,95,0.7692,False,0.375,15.8,🟢 GREEN — Low,#2ecc71
2011,9,30.4,22.2,25.69,29.7,72.8,23.0,26.91,0,135.67,Dry Season,2011-09-01,0,0,False,0.0,1235000,25.22,20.1,26.22,25.25,13.8,26.29,25.39,63.6,144,1.166,False,0.2687500000000007,17.2,🟢 GREEN — Low,#2ecc71
2011,10,31.6,23.0,26.2,60.7,76.0,26.3,27.83,0,143.61,Short Rains,2011-10-01,1,0,False,0.0081,1235000,25.69,29.7,26.91,25.22,20.1,26.22,25.7,110.5,164,1.3279,False,-0.09062499999999929,18.6,🟢 GREEN — Low,#2ecc71
2011,11,31.7,24.0,26.69,153.1,80.7,21.2,29.02,0,125.99,Short Rains,2011-11-01,1,0,False,0.0081,1235000,26.2,60.7,27.83,25.69,29.7,26.91,26.19,243.5,266,2.1538,False,-0.15499999999999758,24.6,🟢 GREEN — Low,#2ecc71
2011,12,31.0,24.7,27.49,105.6,80.2,27.8,30.88,0,143.25,Short Rains,2011-12-01,1,0,False,0.0081,1235000,26.69,153.1,29.02,26.2,60.7,27.83,26.79,319.4,368,2.9798,False,-0.07750000000000057,26.3,🟢 GREEN — Low,#2ecc71
2012,1,30.7,25.6,27.76,11.5,73.7,27.8,30.67,0,166.79,Dry Season,2012-01-01,0,0,False,0.0,1270000,27.49,105.6,30.88,26.69,153.1,29.02,27.31,270.2,214,1.685,False,-0.27937499999999815,20.0,🟢 GREEN — Low,#2ecc71
2012,2,32.3,24.1,27.94,34.900000000000006,71.8,28.6,30.81,0,158.93,Dry Season,2012-02-01,0,0,False,0.0,1270000,27.76,11.5,30.67,27.49,105.6,30.88,27.73,152.0,192,1.5118,False,-0.4406250000000007,20.4,🟢 GREEN — Low,#2ecc71
2012,3,31.2,24.7,27.84,83.5,77.2,20.3,31.26,0,146.38,Long Rains,2012-03-01,1,0,False,0.0079,1270000,27.94,34.900000000000006,30.81,27.76,11.5,30.67,27.85,129.9,100,0.7874,False,-0.11764705882353255,23.1,🟢 GREEN — Low,#2ecc71
2012,4,32.1,23.5,26.91,183.8,77.2,25.0,29.16,0,120.37,Long Rains,2012-04-01,1,0,False,0.0079,1270000,27.84,83.5,31.26,27.94,34.900000000000006,30.81,27.56,302.2,90,0.7087,False,0.4499999999999993,26.2,🟢 GREEN — Low,#2ecc71
2012,5,28.8,21.8,25.57,148.3,81.8,27.5,26.84,0,102.48,Long Rains,2012-05-01,1,0,False,0.0079,1270000,26.91,183.8,29.16,27.84,83.5,31.26,26.77,415.6,92,0.7244,False,-0.2525000000000013,19.6,🟢 GREEN — Low,#2ecc71
2012,6,28.8,22.7,25.28,30.4,75.5,27.7,26.33,0,115.8,Dry Season,2012-06-01,0,0,False,0.0,1270000,25.57,148.3,26.84,26.91,183.8,29.16,25.92,362.5,64,0.5039,False,-0.00999999999999801,14.7,🟢 GREEN — Low,#2ecc71
2012,7,28.5,21.8,24.8,14.0,73.1,28.7,25.71,0,122.27,Dry Season,2012-07-01,0,0,False,0.0,1270000,25.28,30.4,26.33,25.57,148.3,26.84,25.22,192.7,74,0.5827,False,0.06187500000000057,13.6,🟢 GREEN — Low,#2ecc71
2012,8,29.1,22.0,24.97,28.3,72.8,23.2,25.89,0,130.43,Dry Season,2012-08-01,0,0,False,0.0,1270000,24.8,14.0,25.71,25.28,30.4,26.33,25.02,72.7,83,0.6535,False,0.125,14.7,🟢 GREEN — Low,#2ecc71
2012,9,30.3,21.4,25.81,8.8,70.4,21.5,27.04,0,143.49,Dry Season,2012-09-01,0,0,False,0.0,1270000,24.97,28.3,25.89,24.8,14.0,25.71,25.19,51.1,113,0.8898,False,0.38874999999999815,16.6,🟢 GREEN — Low,#2ecc71
2012,10,31.4,23.7,26.77,26.0,69.7,22.6,28.47,0,159.65,Short Rains,2012-10-01,1,0,False,0.0079,1270000,25.81,8.8,27.04,24.97,28.3,25.89,25.85,63.1,179,1.4094,False,0.479375000000001,20.1,🟢 GREEN — Low,#2ecc71
2012,11,31.2,23.9,27.25,78.3,76.6,26.8,29.97,0,139.37,Short Rains,2012-11-01,1,0,False,0.0079,1270000,26.77,26.0,28.47,25.81,8.8,27.04,26.61,113.1,280,2.2047,False,0.40500000000000114,24.8,🟢 GREEN — Low,#2ecc71
2012,12,31.5,24.5,27.79,107.9,77.7,23.1,31.25,0,146.46,Short Rains,2012-12-01,1,0,False,0.0079,1270000,27.25,78.3,29.97,26.77,26.0,28.47,27.27,212.2,367,2.8898,False,0.22250000000000014,27.8,🟢 GREEN — Low,#2ecc71
2013,1,32.2,25.1,28.37,46.6,73.8,27.9,31.99,0,162.16,Dry Season,2013-01-01,0,0,False,0.0,1305000,27.79,107.9,31.25,27.25,78.3,29.97,27.8,232.8,172,1.318,False,0.3306250000000013,24.7,🟢 GREEN — Low,#2ecc71
2013,2,32.2,25.0,28.29,6.9,70.6,24.9,31.33,0,158.32999999999998,Dry Season,2013-02-01,0,0,False,0.0,1305000,28.37,46.6,31.99,27.79,107.9,31.25,28.15,161.4,136,1.0421,False,-0.09062500000000284,20.5,🟢 GREEN — Low,#2ecc71
2013,3,32.0,24.4,27.19,183.0,81.5,20.0,30.27,0,119.02,Long Rains,2013-03-01,0,0,False,0.0,1305000,28.29,6.9,31.33,28.37,46.6,31.99,27.95,236.5,94,0.7203,False,-0.7676470588235311,23.5,🟢 GREEN — Low,#2ecc71
2013,4,30.6,24.1,26.75,155.0,82.8,22.5,29.43,0,109.52,Long Rains,2013-04-01,0,0,False,0.0,1305000,27.19,183.0,30.27,28.29,6.9,31.33,27.41,344.9,74,0.567,False,0.28999999999999915,24.7,🟢 GREEN — Low,#2ecc71
2013,5,28.7,23.6,25.73,96.6,81.6,25.5,27.13,0,103.82,Long Rains,2013-05-01,0,0,False,0.0,1305000,26.75,155.0,29.43,27.19,183.0,30.27,26.56,434.6,68,0.5211,False,-0.09250000000000114,18.1,🟢 GREEN — Low,#2ecc71
2013,6,28.8,22.8,25.25,17.5,72.4,26.4,26.29,0,121.42,Dry Season,2013-06-01,0,0,False,0.0,1305000,25.73,96.6,27.13,26.75,155.0,29.43,25.91,269.1,60,0.4598,False,-0.03999999999999915,14.0,🟢 GREEN — Low,#2ecc71
2013,7,28.9,21.9,24.71,14.1,72.0,27.0,25.61,0,122.88,Dry Season,2013-07-01,0,0,False,0.0,1305000,25.25,17.5,26.29,25.73,96.6,27.13,25.23,128.2,53,0.4061,False,-0.02812499999999929,13.0,🟢 GREEN — Low,#2ecc71
2013,8,29.4,21.0,24.84,19.2,72.5,27.0,25.75,0,127.46,Dry Season,2013-08-01,0,0,False,0.0,1305000,24.71,14.1,25.61,25.25,17.5,26.29,24.93,50.8,82,0.6284,False,-0.004999999999999005,13.8,🟢 GREEN — Low,#2ecc71
2013,9,30.3,21.8,25.53,34.6,72.1,25.0,26.67,0,139.66,Dry Season,2013-09-01,0,0,False,0.0,1305000,24.84,19.2,25.75,24.71,14.1,25.61,25.03,67.9,99,0.7586,False,0.10875000000000057,16.1,🟢 GREEN — Low,#2ecc71
2013,10,31.0,23.0,26.23,43.1,73.3,23.9,27.72,0,148.21,Short Rains,2013-10-01,0,0,False,0.0,1305000,25.53,34.6,26.67,24.84,19.2,25.75,25.53,96.9,140,1.0728,False,-0.06062499999999815,17.6,🟢 GREEN — Low,#2ecc71
2013,11,31.6,23.9,27.09,86.6,76.9,22.2,29.6,0,138.29,Short Rains,2013-11-01,0,0,False,0.0,1305000,26.23,43.1,27.72,25.53,34.6,26.67,26.28,164.3,201,1.5402,False,0.245000000000001,23.3,🟢 GREEN — Low,#2ecc71
2013,12,31.3,23.9,27.6,79.4,77.4,29.6,30.75,0,152.67,Short Rains,2013-12-01,0,0,False,0.0,1305000,27.09,86.6,29.6,26.23,43.1,27.72,26.97,209.1,286,2.1916,False,0.032500000000002416,24.6,🟢 GREEN — Low,#2ecc71
