date,year,month,malaria_cases,malaria_source,malaria_real,malaria_incidence
2010-01-01,2010,1,291,WHO AFRO — near-elimination program,False,2.425
2010-02-01,2010,2,277,WHO AFRO — near-elimination program,False,2.3083
2010-03-01,2010,3,158,WHO AFRO — near-elimination program,False,1.3167
2010-04-01,2010,4,128,WHO AFRO — near-elimination program,False,1.0667
2010-05-01,2010,5,115,WHO AFRO — near-elimination program,False,0.9583
2010-06-01,2010,6,92,WHO AFRO — near-elimination program,False,0.7667
2010-07-01,2010,7,89,WHO AFRO — near-elimination program,False,0.7417
2010-08-01,2010,8,136,WHO AFRO — near-elimination program,False,1.1333
2010-09-01,2010,9,179,WHO AFRO — near-elimination program,False,1.4917
2010-10-01,2010,10,236,WHO AFRO — near-elimination program,False,1.9667
2010-11-01,2010,11,310,WHO AFRO — near-elimination program,False,2.5833
2010-12-01,2010,12,529,WHO AFRO — near-elimination program,False,4.4083
2011-01-01,2011,1,259,WHO AFRO — continued decline,False,2.0972
2011-02-01,2011,2,186,WHO AFRO — continued decline,False,1.5061
2011-03-01,2011,3,111,WHO AFRO — continued decline,False,0.8988
2011-04-01,2011,4,92,WHO AFRO — continued decline,False,0.7449
2011-05-01,2011,5,95,WHO AFRO — continued decline,False,0.7692
2011-06-01,2011,6,80,WHO AFRO — continued decline,False,0.6478
2011-07-01,2011,7,79,WHO AFRO — continued decline,False,0.6397
2011-08-01,2011,8,95,WHO AFRO — continued decline,False,0.7692
2011-09-01,2011,9,144,WHO AFRO — continued decline,False,1.166
2011-10-01,2011,10,164,WHO AFRO — continued decline,False,1.3279
2011-11-01,2011,11,266,WHO AFRO — continued decline,False,2.1538
2011-12-01,2011,12,368,WHO AFRO — continued decline,False,2.9798
2012-01-01,2012,1,214,WHO AFRO — MCN system started Aug 2012,False,1.685
2012-02-01,2012,2,192,WHO AFRO — MCN system started Aug 2012,False,1.5118
2012-03-01,2012,3,100,WHO AFRO — MCN system started Aug 2012,False,0.7874
2012-04-01,2012,4,90,WHO AFRO — MCN system started Aug 2012,False,0.7087
2012-05-01,2012,5,92,WHO AFRO — MCN system started Aug 2012,False,0.7244
2012-06-01,2012,6,64,WHO AFRO — MCN system started Aug 2012,False,0.5039
2012-07-01,2012,7,74,WHO AFRO — MCN system started Aug 2012,False,0.5827
2012-08-01,2012,8,83,WHO AFRO — MCN system started Aug 2012,False,0.6535
2012-09-01,2012,9,113,WHO AFRO — MCN system started Aug 2012,False,0.8898
2012-10-01,2012,10,179,WHO AFRO — MCN system started Aug 2012,False,1.4094
2012-11-01,2012,11,280,WHO AFRO — MCN system started Aug 2012,False,2.2047
2012-12-01,2012,12,367,WHO AFRO — MCN system started Aug 2012,False,2.8898
2013-01-01,2013,1,172,WHO AFRO — continued decline,False,1.318
2013-02-01,2013,2,136,WHO AFRO — continued decline,False,1.0421
2013-03-01,2013,3,94,WHO AFRO — continued decline,False,0.7203
